tech,lifetime_small,lifetime_big,cutoff_MW
hydro,100,100,100
gas-CT,50,50,100
gas-CC,60,60,100
gas-CC-CCS,60,60,100
CoalOldScr,65,75,100
CoalOldUns,65,75,100
coal-new,65,75,100
coal-IGCC,65,75,100
coal-CCS,65,75,100
o-g-s,50,75,100
nuclear,60,60,100
geothermal,30,30,100
biopower,50,50,100
CofireOld,65,75,100
CofireNew,65,75,100
lfill-gas,50,50,100
ocean,20,20,100
distPV,30,30,100
Gas-CT-NSP,50,50,100
Gas-CC-NSP,60,60,100
Coal-CCS-NSP,65,75,100
Nuclear-NSP,60,60,100
pumped-hydro,100,100,100
battery,15,15,100
CAES,75,75,100
wind-ofs,30,30,100
wind-ons,30,30,100
csp-ns,30,30,100
UPV,30,30,100
DUPV,30,30,100
