PLANT_NAME,tech,NukeRetireBin
Crystal River       ,nuclear,1
Kewaunee            ,nuclear,1
San Onofre Nuclear G,nuclear,2
Vermont Yankee      ,nuclear,1
Fort Calhoun        ,nuclear,1
Columbia Generating ,nuclear,1
Harris              ,nuclear,1
PSEG Hope Creek Gene,nuclear,1
Browns Ferry        ,nuclear,2
Oyster Creek        ,nuclear,1
Pilgrim Nuclear Powe,nuclear,1
Three Mile Island   ,nuclear,1
Davis Besse         ,nuclear,1
Duane Arnold Energy ,nuclear,1
Indian Point 2      ,nuclear,1
Beaver Valley       ,nuclear,1
Indian Point 3      ,nuclear,1
Perry               ,nuclear,1
Palisades           ,nuclear,1
Diablo Canyon       ,nuclear,2
Nine Mile Point Nucl,nuclear,1
Dresden Generating S,nuclear,1
Point Beach Nuclear ,nuclear,1
R E Ginna Nuclear Po,nuclear,1
H B Robinson        ,nuclear,1
Monticello Nuclear F,nuclear,1
Quad Cities Generati,nuclear,1
Surry               ,nuclear,2
Turkey Point        ,nuclear,2
Oconee              ,nuclear,2
Arkansas Nuclear One,nuclear,2
Cooper Nuclear Stati,nuclear,1
Prairie Island      ,nuclear,2
Brunswick Nuclear   ,nuclear,2
Calvert Cliffs Nucle,nuclear,1
Donald C Cook       ,nuclear,2
Edwin I Hatch       ,nuclear,1
Millstone           ,nuclear,1
James A Fitzpatrick ,nuclear,1
St Lucie            ,nuclear,2
Joseph M Farley     ,nuclear,2
PSEG Salem Generatin,nuclear,1
North Anna          ,nuclear,2
McGuire             ,nuclear,2
Sequoyah            ,nuclear,2
TalenEnergy Susqueha,nuclear,2
Callaway            ,nuclear,1
LaSalle Generating S,nuclear,1
V C Summer          ,nuclear,1
Byron Generating Sta,nuclear,1
Catawba             ,nuclear,2
Grand Gulf          ,nuclear,1
Waterford 3         ,nuclear,1
Wolf Creek Generatin,nuclear,1
Limerick            ,nuclear,1
Palo Verde          ,nuclear,2
River Bend          ,nuclear,1
Clinton Power Statio,nuclear,1
Vogtle              ,nuclear,2
Braidwood Generation,nuclear,1
Fermi               ,nuclear,1
South Texas Project ,nuclear,2
Comanche Peak       ,nuclear,1
Seabrook            ,nuclear,2
Watts Bar Nuclear Pl,nuclear,1
Peach Bottom        ,nuclear,1
