,cooling technology type (ctt),,,,,water source type (wst),,,,,,
,once_o,recirc_r,pond_p,dry_d,none_n,fsu,fsa,fsl,fg,sg,ss,ww
can-imports,,,,,,,,,,,,
coal-CCS,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
coal-IGCC,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
coal-new,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
CoalOldScr,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
CoalOldUns,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
CofireNew,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
CofireOld,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
gas-CC,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
Gas-CC-CCS,YES,YES,YES,,,YES,YES,YES,YES,YES,YES,YES
gas-CT,,,,,,,,,,,,
o-g-s,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
nuclear,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES
biopower,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
geothermal,,,,,,,,,,,,
Hydro,,,,,,,,,,,,
lfill-gas,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
MHKwave,,,,,,,,,,,,
Ocean,,,,,,,,,,,,
ice,,,,,,,,,,,,
battery,,,,,,,,,,,,
caes,,,,,,,,,,,,
pumped-hydro,,,,,,,,,,,,
unknown,,,,,,,,,,,,
other,,,,,,,,,,,,
distPV,,,,,,,,,,,,
upv_1*upv_10,,,,,,,,,,,,
dupv_1*dupv_10,,,,,,,,,,,,
wind-ofs_1*wind-ofs_15,,,,,,,,,,,,
wind-ons_1*wind-ons_10,,,,,,,,,,,,
csp-ns,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES
csp1_1*csp1_12,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES
csp2_1*csp2_12,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES
csp3_1*csp3_12,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES
csp4_1*csp4_12,,YES,,YES,,YES,YES,YES,YES,YES,YES,YES
hydD,,,,,,,,,,,,
hydND,,,,,,,,,,,,
hydSD,,,,,,,,,,,,
hydSND,,,,,,,,,,,,
hydUD,,,,,,,,,,,,
hydUND,,,,,,,,,,,,
hydNPD,,,,,,,,,,,,
hydNPND,,,,,,,,,,,,
hydED,,,,,,,,,,,,
hydEND,,,,,,,,,,,,
deep-egs_pbinary_1*deep-egs_pbinary_8,,,,,,,,,,,,
deep-egs_pflash_1*deep-egs_pflash_8,,,,,,,,,,,,
geohydro_pbinary_1*geohydro_pbinary_8,,,,,,,,,,,,
geohydro_pflash_1*geohydro_pflash_8,,,,,,,,,,,,
NF-EGS_pbinary_1*NF-EGS_pbinary_8,,,,,,,,,,,,
NF-EGS_pflash_1*NF-EGS_pflash_8,,,,,,,,,,,,
undisc_pbinary_1*undisc_pbinary_8,,,,,,,,,,,,
undisc_pflash_1*undisc_pflash_8,,,,,,,,,,,,
